Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path,GroupId
29,30,5,6,24,25,0,Train/0/00000_00000_00000.png,class_00_sequence_00000
30,30,5,5,25,25,0,Train/0/00000_00000_00001.png,class_00_sequence_00000
30,30,5,5,25,25,0,Train/0/00000_00000_00002.png,class_00_sequence_00000
31,31,5,5,26,26,0,Train/0/00000_00000_00003.png,class_00_sequence_00000
30,32,5,6,25,26,0,Train/0/00000_00000_00004.png,class_00_sequence_00000
31,31,6,6,26,26,0,Train/0/00000_00000_00005.png,class_00_sequence_00000
33,34,6,6,28,28,0,Train/0/00000_00000_00006.png,class_00_sequence_00000
34,35,6,6,29,30,0,Train/0/00000_00000_00007.png,class_00_sequence_00000
33,34,5,5,28,29,0,Train/0/00000_00000_00008.png,class_00_sequence_00000
36,36,6,5,30,30,0,Train/0/00000_00000_00009.png,class_00_sequence_00000
35,36,5,5,30,31,0,Train/0/00000_00000_00010.png,class_00_sequence_00000
37,38,6,6,32,33,0,Train/0/00000_00000_00011.png,class_00_sequence_00000
37,38,5,6,32,33,0,Train/0/00000_00000_00012.png,class_00_sequence_00000
40,39,6,5,35,34,0,Train/0/00000_00000_00013.png,class_00_sequence_00000
41,42,5,6,36,37,0,Train/0/00000_00000_00014.png,class_00_sequence_00000
44,44,6,6,39,39,0,Train/0/00000_00000_00015.png,class_00_sequence_00000
46,44,6,5,41,39,0,Train/0/00000_00000_00016.png,class_00_sequence_00000
47,48,6,6,42,42,0,Train/0/00000_00000_00017.png,class_00_sequence_00000
50,48,5,5,45,43,0,Train/0/00000_00000_00018.png,class_00_sequence_00000
53,51,5,5,48,46,0,Train/0/00000_00000_00019.png,class_00_sequence_00000
57,54,6,5,51,49,0,Train/0/00000_00000_00020.png,class_00_sequence_00000
59,58,6,6,53,53,0,Train/0/00000_00000_00021.png,class_00_sequence_00000
63,61,6,5,57,56,0,Train/0/00000_00000_00022.png,class_00_sequence_00000
70,70,7,7,64,64,0,Train/0/00000_00000_00023.png,class_00_sequence_00000
76,76,7,7,70,70,0,Train/0/00000_00000_00024.png,class_00_sequence_00000
85,86,7,8,78,79,0,Train/0/00000_00000_00025.png,class_00_sequence_00000
97,97,8,8,89,88,0,Train/0/00000_00000_00026.png,class_00_sequence_00000
108,110,9,10,99,101,0,Train/0/00000_00000_00027.png,class_00_sequence_00000
124,127,10,11,113,116,0,Train/0/00000_00000_00028.png,class_00_sequence_00000
144,148,12,13,132,136,0,Train/0/00000_00000_00029.png,class_00_sequence_00000
29,30,6,6,24,25,0,Train/0/00000_00001_00000.png,class_00_sequence_00001
30,30,6,5,25,25,0,Train/0/00000_00001_00001.png,class_00_sequence_00001
30,29,6,5,25,24,0,Train/0/00000_00001_00002.png,class_00_sequence_00001
31,31,6,6,26,26,0,Train/0/00000_00001_00003.png,class_00_sequence_00001
31,31,5,5,26,26,0,Train/0/00000_00001_00004.png,class_00_sequence_00001
32,32,6,6,27,27,0,Train/0/00000_00001_00005.png,class_00_sequence_00001
33,34,5,6,28,29,0,Train/0/00000_00001_00006.png,class_00_sequence_00001
34,33,6,5,29,28,0,Train/0/00000_00001_00007.png,class_00_sequence_00001
33,33,5,5,28,28,0,Train/0/00000_00001_00008.png,class_00_sequence_00001
34,33,6,5,29,28,0,Train/0/00000_00001_00009.png,class_00_sequence_00001
36,35,6,5,30,29,0,Train/0/00000_00001_00010.png,class_00_sequence_00001
35,36,5,6,30,31,0,Train/0/00000_00001_00011.png,class_00_sequence_00001
36,36,6,6,31,31,0,Train/0/00000_00001_00012.png,class_00_sequence_00001
36,36,5,6,31,31,0,Train/0/00000_00001_00013.png,class_00_sequence_00001
37,36,5,5,31,31,0,Train/0/00000_00001_00014.png,class_00_sequence_00001
38,38,5,6,32,33,0,Train/0/00000_00001_00015.png,class_00_sequence_00001
38,39,5,6,33,34,0,Train/0/00000_00001_00016.png,class_00_sequence_00001
39,41,5,6,34,35,0,Train/0/00000_00001_00017.png,class_00_sequence_00001
40,41,5,6,35,36,0,Train/0/00000_00001_00018.png,class_00_sequence_00001
42,43,5,5,36,37,0,Train/0/00000_00001_00019.png,class_00_sequence_00001
43,43,6,5,38,38,0,Train/0/00000_00001_00020.png,class_00_sequence_00001
45,45,6,5,40,40,0,Train/0/00000_00001_00021.png,class_00_sequence_00001
45,47,5,6,40,42,0,Train/0/00000_00001_00022.png,class_00_sequence_00001
47,48,5,5,41,42,0,Train/0/00000_00001_00023.png,class_00_sequence_00001
49,49,6,5,44,44,0,Train/0/00000_00001_00024.png,class_00_sequence_00001
50,52,5,5,45,47,0,Train/0/00000_00001_00025.png,class_00_sequence_00001
53,54,6,5,48,49,0,Train/0/00000_00001_00026.png,class_00_sequence_00001
55,56,6,5,50,51,0,Train/0/00000_00001_00027.png,class_00_sequence_00001
57,59,5,6,51,54,0,Train/0/00000_00001_00028.png,class_00_sequence_00001
59,61,5,5,54,55,0,Train/0/00000_00001_00029.png,class_00_sequence_00001
27,26,6,5,22,21,0,Train/0/00000_00002_00000.png,class_00_sequence_00002
27,28,5,6,22,23,0,Train/0/00000_00002_00001.png,class_00_sequence_00002
27,28,5,6,22,23,0,Train/0/00000_00002_00002.png,class_00_sequence_00002
